,year,major,on_campus,main_reason_for_taking_isb,trips_per_day,duration_per_day,date,has_exam,feedback
0,Year 1,data science and analytics,No,To go to class,2,7,2024-09-20,No,Not really the buses themselves but the times shown on the nextbus app not accurate sometimes
1,Year 1,data science and analytics,No,To go to class,2,7,2024-09-26,No,sometimes the buses come too close together or too far apart
2,Year 1,data science and analytics,No,To go to class,2,5,2024-09-16,No,"The fact that tourists are allowed to squeeze in before students take their bus is unfair for me. This day was fine, but a few times I missed my bus to classes because they took up space with their luggage and items. Aside from that, still relatively good."
3,Year 1,data science and analytics,No,To go to class,2,15,2024-09-26,No,seat availability
4,Year 2,data science and analytics,Yes,To go to class,6,20,2024-09-26,No,NIL
5,Year 3,data science and analytics,No,To go to class,3,30,2024-09-16,No,The bus rides are quite choppy and it is very hard to maintain my balance
6,Year 2,life sciences,Yes,To go to class,4,40,2024-09-20,No,how many seats there are on the bus
7,Year 3,data science and analytics,No,To go to MRT,2,25,2024-09-19,No,Friendliness of the bus driver
8,Year 3,life sciences,No,To go to class,2,20,2024-09-26,No,The bus frequencies and how the driver drives
9,Year 3,nursing,No,To go to class,2,40,2024-09-26,No,having a good air ventilation / strong aircon in the bus when its very crowded
10,Year 2,data science and analytics,No,To go to class,2,10,2024-09-26,No,Large crowd of tourists
11,Year 4,data science and analytics,No,To go to class,2,5,2024-09-19,No,if i can sit down
12,Year 2,data science and analytics,No,To go for meals,4,20,2024-10-02,No,NIL
13,Year 2,social work,No,To go to class,5,20,2024-09-27,No,"how packed the buses are, whether the nus bus app is accurate or not, whether the bus driver is friendly or not, other passengers' behaviour/actions on the bus (eg. whether they move in)"
14,Year 2,business administration,Yes,To go to class,2,30,2024-09-26,No,Whether I can get on the bus
15,Year 3,data science and analytics,No,To go to MRT,4,30,2024-09-17,No,Whether I can hold on to any grab poles or hand grips when the bus is moving
16,Year 3,data science and analytics,No,To go to class,2,30,2024-09-27,No,Nope
17,Year 4,nursing,No,To go to class,2,5,2024-09-27,No,"If there are increased intervals of the buses, I would be more satisfied"
18,Year 3,data science and analytics,Yes,To go to class,2,10,2024-09-27,No,nope
19,Year 3,data science and analytics,No,To go to class,2,15,2024-09-27,No,nope
20,Year 3,data science and analytics,No,To go to class,2,15,2024-09-27,No,nope
21,Year 3,data science and analytics,Yes,To go for meals,4,60,2024-09-27,No,nope
22,Year 3,data science and analytics,Yes,To go for meals,4,15,2024-09-27,No,nope
