year,major,on_campus,main_reason_for_taking_isb,trips_per_day,duration_per_day,date,has_exam,start,end,bus_num,time,weather,num_people_at_bus_stop,waiting_time,waiting_time_satisfaction,crowdedness,crowdedness_satisfaction,comfort,safety,overall_satisfaction
Year 2,dentistry,No,To go to class,2,10,2024-10-07,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 12:00:00,Sunny,30,20,1,8,2,4,7,1
Year 2,mechanical engineering,No,To go to class,2,12,2024-10-02,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 14:45:00,Sunny,30,10,5,9,5,5,5,5
Year 3,law,No,To go to class,3,30,2024-10-08,No,UTown,PGP,D2,1900-01-01 11:00:00,Sunny,25,10,6,8,6,6,7,4
Year 1,malay studies,No,To go to class,1,10,2024-10-01,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A2,1900-01-01 11:40:00,Sunny,45,1,8,9,4,4,7,7
Year 3,data science and analytics,No,To go to class,2,15,2024-09-27,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 18:00:00,Rainy,40,25,1,10,1,1,1,1
Year 1,economics,No,To go to MRT,2,20,2024-10-18,No,BIZ2 / Opp HSSML,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 14:30:00,Rainy,20,15,7,7,7,7,7,7
Year 3,quantitative finance,No,To go to class,4,20,2024-10-08,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,1900-01-01 12:30:00,Sunny,20,10,6,8,5,8,8,6
Year 3,quantitative finance,Yes,To go to class,3,20,2024-10-07,No,BIZ2 / Opp HSSML,LT27 / S17,A1,1900-01-01 10:30:00,Rainy,15,8,7,7,6,7,7,7
Year 1,data science and analytics,No,To go to class,2,7,2024-09-20,No,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,1900-01-01 18:00:00,Sunny,10,3,9,3,9,8,8,9
Year 2,anthropology,Yes,To go to class,2,10,2024-10-14,No,LT27 / S17,UHC / Opp UHC,A1,1900-01-01 11:00:00,Rainy,20,5,6,8,5,5,5,5
Year 3,data science and analytics,No,To go to class,3,40,2024-10-01,Yes,LT27 / S17,IT / CLB,A1,1900-01-01 12:30:00,Sunny,50,5,5,10,6,5,8,7
Year 2,political science,No,To go to MRT,3,30,2024-10-15,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 11:45:00,Sunny,35,15,4,8,5,6,9,3
Year 3,data science and analytics,No,To go to class,3,30,2024-10-15,No,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 16:00:00,Sunny,40,7,4,9,3,6,8,6
Year 1,political science,No,To go to CCA sessions,1,5,2024-10-01,No,IT / CLB,UHC / Opp UHC,A2,1900-01-01 18:00:00,Sunny,30,5,7,9,5,2,7,6
Year 2,geography,No,To go to class,2,10,2024-10-02,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 14:30:00,Sunny,20,10,6,7,6,7,8,7
Year 3,data science and analytics,Yes,To go to class,2,10,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 11:00:00,Sunny,5,1,10,1,10,10,10,10
Year 3,geography,No,To go to class,2,15,2024-10-01,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 13:35:00,Rainy,35,7,3,8,4,2,5,4
Year 2,data science and analytics,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",2,10,2024-10-01,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,1900-01-01 21:00:00,Sunny,10,5,8,3,8,8,8,8
Year 3,statistics,No,To go to MRT,2,15,2024-10-17,No,UTown,LT13 / Ventus,D1,1900-01-01 12:40:00,Rainy,40,6,3,9,4,3,4,4
Year 3,architecture,No,To go to class,2,15,2024-10-14,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 16:00:00,Sunny,20,15,2,8,2,3,4,4
Year 4,mechanical engineering,No,All of the above,2,10,2024-10-01,No,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 16:30:00,Rainy,15,5,5,7,5,5,5,5
Year 1,biomedical engineering,No,To go to class,2,35,2024-10-21,No,IT / CLB,UTown,D1,1900-01-01 09:40:00,Sunny,10,5,7,4,7,7,7,7
Year 2,food science and technology,No,To go to class,2,5,2024-10-07,Yes,UHC / Opp UHC,UTown,D2,1900-01-01 14:11:00,Sunny,15,5,7,6,6,5,7,7
Year 3,food science and technology,No,To go to CCA sessions,2,10,2024-10-09,No,BIZ2 / Opp HSSML,PGP,A1,1900-01-01 19:00:00,Sunny,12,8,4,6,5,5,4,5
Year 3,life sciences,No,To go to class,2,10,2024-10-01,Yes,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 13:41:00,Sunny,15,6,7,8,5,6,7,7
Year 1,malay studies,No,To go to class,2,20,2024-10-16,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 15:00:00,Sunny,20,5,6,8,4,7,8,6
Year 3,data science and analytics,No,To go to class,4,30,2024-09-30,Yes,UTown,UHC / Opp UHC,D2,1900-01-01 11:30:00,Sunny,30,2,9,5,8,8,9,9
Year 1,data science and analytics,No,To go to class,2,5,2024-09-16,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 12:00:00,Sunny,14,3,8,3,8,9,9,9
