Timestamp,What year of study are you in?,What major are you studying?,Do you stay on campus?,"In general, what is the main reason that you take the school bus?","On a normal school day, how many times do you take the school bus? Please enter a non-negative integer.","On a normal school day, how long do you spend riding the school bus in total (in minutes)? This does not include the time you spend waiting for the bus.",Please enter today's date.,Do you have an exam today?,Which bus stop did you board the bus from?,Which bus stop did you alight at?,Which bus did you take?,What time of day did this trip take place?,What was the weather like during your trip?,"When you were boarding the bus, approximately how many people were at the bus stop? Please enter a non-negative integer.",How long did you have to wait for the bus (in minutes)? Please account for missed buses.,"With regards to waiting time, how satisfied are you with the trip?","On a scale from 1 to 10, how crowded was the bus?","With regards to crowdedness, how satisfied are you with the trip?","On a scale from 1 to 10, how comfortable was the trip for you?","On a scale from 1 to 10, how safe was the trip for you?","On a scale from 1 to 10, how satisfied are you with the trip overall?",Which bus stop did you board the bus from?,Which bus stop did you alight at?,Which bus did you take?,What time of day did this trip take place?,What was the weather like during your trip?,"When you were boarding the bus, approximately how many people were at the bus stop? Please enter a non-negative integer.",How long did you have to wait for the bus (in minutes)? Please account for missed buses.,"With regards to waiting time, how satisfied are you with the trip?","On a scale from 1 to 10, how crowded was the bus?","With regards to crowdedness, how satisfied are you with the trip?","On a scale from 1 to 10, how comfortable was the trip for you?","On a scale from 1 to 10, how safe was the trip for you?","On a scale from 1 to 10, how satisfied are you with the trip overall?",Are there any other factors that influence how satisfied you are with the NUS bus system?
9/26/2024 15:31:53,Year 1,DSA,No,To go to class,2,7,9/20/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,7:50:00 AM,Sunny,30,6,4,9,4,3,6,6,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,6:00:00 PM,Sunny,10,3,9,3,9,8,8,9,Not really the buses themselves but the times shown on the nextbus app not accurate sometimes
9/26/2024 15:40:35,Year 1,DSA,No,To go to class,2,7,9/26/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,3:00:00 PM,Rainy,10,5,5,5,6,7,7,7,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,D2,6:00:00 PM,Rainy,10,6,7,5,6,6,7,7,sometimes the buses come too close together or too far apart
9/26/2024 15:49:00,Year 1,DSA,No,To go to class,2,5,9/16/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,8:50:00 AM,Sunny,20,6,7,9,7,7,9,8,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,12:00:00 PM,Sunny,14,3,8,3,8,9,9,9,"The fact that tourists are allowed to squeeze in before students take their bus is unfair for me. This day was fine, but a few times I missed my bus to classes because they took up space with their luggage and items. Aside from that, still relatively good. "
9/26/2024 15:51:11,Year 1,Data Science and Analtytics,No,To go to class,2,15,9/26/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,11:00:00 AM,Rainy,15,7,8,10,4,7,5,9,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1:40:00 PM,Sunny,8,5,9,8,7,9,10,10,seat availability
9/26/2024 15:57:21,Year 2,DSA,Yes,To go to class,6,20 mins,9/26/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,11:00:00 AM,Sunny,30,4,8,9,3,3,4,5,LT27 / S17,UTown,D2,1:00:00 AM,Sunny,25,5,9,7,3,3,4,5,NIL
9/26/2024 16:21:14,Year 3,DSA,No,To go to class,3,30,9/16/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,9:30:00 AM,Sunny,10,5,7,8,4,4,8,6,COM3,LT27 / S17,D2,2:30:00 PM,Sunny,15,8,5,6,7,7,7,8,The bus rides are quite choppy and it is very hard to maintain my balance
9/26/2024 18:19:11,Year 2,life sciences,Yes,To go to class,4,40,9/20/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A2,11:40:00 PM,Sunny,20,5,10,7,7,5,6,5,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,6:00:00 PM,Sunny,35,20,4,10,4,4,4,4,how many seats there are on the bus
9/26/2024 18:41:01,Year 3,DSA,No,To go to MRT,2,25,9/19/2024,No,COM3,LT27 / S17,D2,2:00:00 PM,Sunny,15,5,6,6,6,7,8,7,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,11:30:00 AM,Sunny,15,5,7,8,4,7,8,6,Friendliness of the bus driver
9/26/2024 19:33:57,Year 3,Life science,No,To go to class,2,20,9/26/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,2:00:00 PM,Rainy,30,10,3,7,3,3,5,3,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,5:00:00 PM,Rainy,40,15,3,8,3,3,5,3,The bus frequencies and how the driver drives 
9/26/2024 19:56:18,Year 3,nursing,No,To go to class,2,40,9/26/2024,No,LT27 / S17,IT / CLB,A1,12:30:00 PM,Rainy,40,6,4,8,2,2,6,4,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A2,4:00:00 PM,Sunny,20,10,8,2,9,9,9,9,having a good air ventilation / strong aircon in the bus when its very crowded
