year,major,on_campus,main_reason_for_taking_isb,trips_per_day,duration_per_day,date,has_exam,start,end,bus_num,time,weather,num_people_at_bus_stop,waiting_time,waiting_time_satisfaction,crowdedness,crowdedness_satisfaction,comfort,safety,overall_satisfaction
3,law,No,To go to class,3,20,2024-10-18,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,1900-01-01 08:50:00,Sunny,0,5,8,8,4,5,7,7
3,data science and analytics,No,To go to class,2,15,2024-09-27,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 17:30:00,Sunny,15,10,7,3,7,7,7,7
2,statistics,Yes,To go to class,2,20,2024-10-16,No,COM3,LT27 / S17,D2,1900-01-01 15:30:00,Sunny,20,4,4,7,6,5,7,6
4,mechanical engineering,No,To go to class,3,15,2024-10-02,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 10:00:00,Sunny,0,2,8,5,7,7,8,8
3,data science and analytics,Yes,To go to class,2,10,2024-09-30,Yes,UHC / Opp UHC,LT27 / S17,A2,1900-01-01 14:00:00,Sunny,0,3,8,4,9,8,8,8
3,data science and analytics,No,To go to class,2,30,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A2,1900-01-01 10:00:00,Sunny,0,5,10,10,5,10,6,7
3,malay studies,No,To go to MRT,2,30,2024-10-18,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 11:00:00,Rainy,0,4,7,8,4,6,7,5
1,political science,No,To go to CCA sessions,1,5,2024-10-01,No,UTown,IT / CLB,D1,1900-01-01 10:55:00,Sunny,30,3,9,4,8,8,8,8
3,global studies,No,To go to MRT,2,25,2024-10-15,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 11:00:00,Sunny,0,8,4,6,6,7,8,7
2,anthropology,Yes,To go to class,2,10,2024-10-14,No,LT27 / S17,UHC / Opp UHC,A1,1900-01-01 11:00:00,Rainy,0,5,6,8,5,5,5,5
1,pharmaceutical science,Yes,To go to class,3,60,2024-10-01,No,LT27 / S17,UTown,D2,1900-01-01 13:30:00,Sunny,40,4,4,8,4,5,5,6
1,psychology,No,To go to class,3,25,2024-10-17,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 11:30:00,Sunny,0,5,5,9,3,5,8,6
3,data science and analytics,No,To go to class,4,30,2024-09-30,Yes,UTown,UHC / Opp UHC,D2,1900-01-01 11:30:00,Sunny,0,2,9,5,8,8,9,9
2,industrial systems engineering,Yes,To go to class,3,20,2024-10-22,No,COM3,UTown,D2,1900-01-01 17:32:00,Sunny,10,7,5,5,5,6,6,6
4,food science and technology,No,To go to class,1,10,2024-10-08,No,UTown,LT27 / S17,D2,1900-01-01 14:15:00,Sunny,0,5,7,8,5,5,7,6
4,nursing,No,To go to class,2,5,2024-09-27,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 19:40:00,Sunny,20,10,4,9,3,4,6,4
4,materials science and engineering,No,To go for meals,2,20,2024-10-17,No,LT27 / S17,IT / CLB,A1,1900-01-01 12:20:00,Sunny,0,2,9,7,5,6,5,7
3,data science and analytics,No,To go to class,3,30,2024-10-17,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,1900-01-01 10:30:00,Rainy,0,1,9,5,7,7,8,8
1,geography,Yes,To go to class,2,10,2024-09-27,No,UTown,LT27 / S17,D2,1900-01-01 14:00:00,Sunny,0,3,8,3,8,8,8,8
3,architecture,No,To go to class,2,15,2024-10-14,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 16:00:00,Sunny,20,15,2,8,2,3,4,4
