year,major,on_campus,main_reason_for_taking_isb,trips_per_day,duration_per_day,date,has_exam,start,end,bus_num,time,weather,num_people_at_bus_stop,waiting_time,waiting_time_satisfaction,crowdedness,crowdedness_satisfaction,comfort,safety,overall_satisfaction
Year 1,data science and analytics,No,To go to class,2,7,2024-09-20,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 07:50:00,Sunny,30,6,4,9,4,3,6,6
Year 1,data science and analytics,No,To go to class,2,7,2024-09-26,No,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,1900-01-01 15:00:00,Rainy,10,5,5,5,6,7,7,7
Year 1,data science and analytics,No,To go to class,2,5,2024-09-16,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 08:50:00,Sunny,20,6,7,9,7,7,9,8
Year 1,data science and analytics,No,To go to class,2,15,2024-09-26,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 11:00:00,Rainy,15,7,8,10,4,7,5,9
Year 2,data science and analytics,Yes,To go to class,6,20,2024-09-26,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 11:00:00,Sunny,30,4,8,9,3,3,4,5
Year 3,data science and analytics,No,To go to class,3,30,2024-09-16,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 09:30:00,Sunny,10,5,7,8,4,4,8,6
Year 2,life sciences,Yes,To go to class,4,40,2024-09-20,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A2,1900-01-01 11:40:00,Sunny,20,5,10,7,7,5,6,5
Year 3,data science and analytics,No,To go to MRT,2,25,2024-09-19,No,COM3,LT27 / S17,D2,1900-01-01 14:00:00,Sunny,15,5,6,6,6,7,8,7
Year 3,life sciences,No,To go to class,2,20,2024-09-26,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 14:00:00,Rainy,30,10,3,7,3,3,5,3
Year 3,nursing,No,To go to class,2,40,2024-09-26,No,LT27 / S17,IT / CLB,A1,1900-01-01 12:30:00,Rainy,40,6,4,8,2,2,6,4
Year 2,data science and analytics,No,To go to class,2,10,2024-09-26,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 11:00:00,Rainy,20,7,6,8,5,6,6,6
Year 4,data science and analytics,No,To go to class,2,5,2024-09-19,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 18:53:00,Sunny,13,3,8,8,6,7,10,8
Year 2,data science and analytics,No,To go for meals,4,20,2024-10-02,No,LT27 / S17,UTown,D2,1900-01-01 12:15:00,Sunny,30,15,3,9,3,3,3,4
Year 2,social work,No,To go to class,5,20,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 10:02:00,Sunny,10,4,8,4,8,7,7,8
Year 2,business administration,Yes,To go to class,2,30,2024-09-26,No,UTown,BIZ2 / Opp HSSML,D1,1900-01-01 11:45:00,Sunny,30,15,4,9,6,4,9,6
Year 3,data science and analytics,No,To go to MRT,4,30,2024-09-17,No,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 16:00:00,Sunny,20,10,4,9,3,4,6,5
Year 3,data science and analytics,No,To go to class,2,30,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A2,1900-01-01 10:00:00,Sunny,50,5,10,10,5,10,6,7
Year 4,nursing,No,To go to class,2,5,2024-09-27,No,LT27 / S17,IT / CLB,A1,1900-01-01 10:00:00,Sunny,10,7,5,7,4,4,6,5
Year 3,data science and analytics,Yes,To go to class,2,10,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 11:00:00,Sunny,5,1,10,1,10,10,10,10
Year 3,data science and analytics,No,To go to class,2,15,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A2,1900-01-01 09:00:00,Rainy,50,20,1,10,1,1,1,1
Year 3,data science and analytics,No,To go to class,2,15,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 10:30:00,Sunny,5,3,7,3,7,7,7,7
Year 3,data science and analytics,Yes,To go for meals,4,60,2024-09-27,No,UHC / Opp UHC,UTown,D2,1900-01-01 13:00:00,Sunny,40,15,3,8,3,3,3,3
Year 3,data science and analytics,Yes,To go for meals,4,15,2024-09-27,No,UHC / Opp UHC,UTown,D2,1900-01-01 18:00:00,Sunny,40,20,3,8,3,3,3,3
Year 1,computer science,Yes,To go to class,2,60,2024-09-27,No,UTown,LT27 / S17,D2,1900-01-01 12:00:00,Sunny,30,10,8,4,8,9,9,9
Year 3,life sciences,No,To go to class,2,10,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 11:45:00,Sunny,6,0,10,5,8,7,8,8
Year 3,dentistry,No,To go to class,1,30,2024-09-27,No,LT27 / S17,IT / CLB,A1,1900-01-01 17:00:00,Rainy,100,10,7,10,6,9,5,5
Year 1,geography,Yes,To go to class,2,10,2024-09-27,No,UTown,LT27 / S17,D2,1900-01-01 14:00:00,Sunny,10,3,8,3,8,8,8,8
Year 1,geography,Yes,To go to class,2,10,2024-09-27,No,UTown,LT27 / S17,D2,1900-01-01 14:00:00,Rainy,35,20,2,9,2,2,2,2
Year 2,political science,Yes,To go to CCA sessions,2,10,2024-09-27,No,UTown,BIZ2 / Opp HSSML,A2,1900-01-01 19:30:00,Sunny,15,10,6,3,6,6,7,8
Year 3,psychology,No,To go to class,2,10,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 10:00:00,Sunny,20,5,7,7,7,7,9,7
Year 2,computer science,No,To go to class,2,15,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,1900-01-01 11:00:00,Sunny,20,10,10,5,5,5,7,7
Year 3,business,No,To go to MRT,2,30,2024-09-20,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,1900-01-01 11:30:00,Sunny,15,5,7,8,4,5,5,6
Year 3,data science and analytics,No,To go to class,2,30,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,1900-01-01 10:00:00,Sunny,50,6,8,5,5,6,5,5
Year 4,environmental studies,Yes,To go to class,4,30,2024-09-19,No,UTown,LT27 / S17,D2,1900-01-01 15:30:00,Sunny,50,15,4,8,5,3,7,5
Year 3,data science and analytics,No,To go to class,3,30,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,1900-01-01 10:30:00,Sunny,10,8,5,3,8,5,9,6
Year 3,dentistry,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",2,20,2024-09-25,Yes,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 07:30:00,Rainy,60,10,8,7,8,6,7,7
Year 3,dentistry,No,To go for meals,1,20,2024-09-24,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 17:00:00,Sunny,30,30,9,7,6,6,5,4
Year 2,data science and analytics,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",2,10,2024-10-01,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,1900-01-01 21:00:00,Sunny,10,5,8,3,8,8,8,8
Year 2,data science and analytics,No,To go to CCA sessions,4,18,2024-09-27,No,UTown,UHC / Opp UHC,D2,1900-01-01 15:00:00,Sunny,15,5,7,5,7,6,6,6
Year 1,mathematics,Yes,To go to class,4,30,2024-09-27,No,LT27 / S17,IT / CLB,A1,1900-01-01 15:30:00,Sunny,50,8,7,8,5,4,7,6
Year 2,data science and analytics,Yes,To go to class,2,15,2024-10-01,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A1,1900-01-01 10:00:00,Sunny,20,8,6,6,5,5,5,5
Year 3,data science and analytics,Yes,To go to class,2,15,2024-09-18,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D1,1900-01-01 09:45:00,Sunny,25,15,4,9,4,5,5,5
Year 1,law,No,To go to class,2,30,2024-09-28,No,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,1900-01-01 08:30:00,Sunny,20,10,6,8,4,6,8,7
Year 3,data science and analytics,No,To go to class,4,15,2024-09-29,No,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 14:22:00,Sunny,22,22,5,5,5,5,5,5
Year 3,data science and analytics,No,To go to class,3,40,2024-09-16,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,A1,1900-01-01 09:45:00,Sunny,30,15,3,9,2,5,8,6
Year 3,computer science,No,To go to class,1,10,2024-09-19,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,1900-01-01 13:45:00,Sunny,7,5,8,10,5,4,7,5
Year 4,chemistry,No,To go to class,2,5,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 07:30:00,Rainy,20,5,5,8,5,5,9,7
Year 1,data science and analytics,No,To go to class,4,30,2024-09-30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 07:35:00,Rainy,30,6,5,8,4,5,7,7
Year 3,data science and analytics,No,To go to class,3,35,2024-09-30,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,1900-01-01 09:30:00,Sunny,30,3,8,8,3,4,7,6
Year 3,data science and analytics,No,To go to class,4,30,2024-09-30,Yes,UTown,UHC / Opp UHC,D2,1900-01-01 11:30:00,Sunny,30,2,9,5,8,8,9,9
Year 1,data science and analytics,No,To go to class,2,15,2024-09-30,No,LT27 / S17,UTown,D2,1900-01-01 13:00:00,Sunny,100,20,1,1,1,1,1,1
Year 1,data science and analytics,No,To go to MRT,2,10,2024-09-30,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 07:45:00,Rainy,25,10,3,3,2,3,3,2
Year 1,sociology,Yes,To go to class,4,15,2024-09-30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 09:00:00,Sunny,5,7,4,4,4,4,5,4
